company_name,activity_type,role_count,post_count,priority_score,last_updated
"Boston Government Services, LLC",hiring_only,7,0,2,2026-05-01
iQuasar LLC,hiring_only,5,0,2,2026-05-01
Crypto,hiring_only,1,0,2,2026-05-01
Hiring Companies,hiring_only,1,0,2,2026-05-01
e Technical AnalystNew,hiring_only,1,0,2,2026-05-01
Check Point,talking_only,0,8,1,2026-05-01
CrowdStrike,talking_only,0,5,1,2026-05-01
Cisco Security,talking_only,0,4,1,2026-05-01
Palo Alto Networks,talking_only,0,2,1,2026-05-01
Podcasts,discovered,0,0,0,2026-05-01
DoorDashDoorDash is an on-demand delivery service.,discovered,0,0,0,2026-05-01
AI,discovered,0,0,0,2026-05-01
American Dynamism,discovered,0,0,0,2026-05-01
Consumer,discovered,0,0,0,2026-05-01
Cultural Leadership Fund,discovered,0,0,0,2026-05-01
Enterprise,discovered,0,0,0,2026-05-01
Fintech,discovered,0,0,0,2026-05-01
Growth,discovered,0,0,0,2026-05-01
Infrastructure,discovered,0,0,0,2026-05-01
Perennial,discovered,0,0,0,2026-05-01
Speedrun,discovered,0,0,0,2026-05-01
Asserting American Leadership in Open Source AI,discovered,0,0,0,2026-05-01
Investing in Glif,discovered,0,0,0,2026-05-01
Podcast Network,discovered,0,0,0,2026-05-01
Books,discovered,0,0,0,2026-05-01
a16z Build,discovered,0,0,0,2026-05-01
College Talent,discovered,0,0,0,2026-05-01
Offices,discovered,0,0,0,2026-05-01
Strategic Partnerships,discovered,0,0,0,2026-05-01
Youtube-alt,discovered,0,0,0,2026-05-01
Substack,discovered,0,0,0,2026-05-01
Portfolio Jobs Board,discovered,0,0,0,2026-05-01
Terms of Use,discovered,0,0,0,2026-05-01
Privacy Policy,discovered,0,0,0,2026-05-01
Disclosures,discovered,0,0,0,2026-05-01
Sitemap,discovered,0,0,0,2026-05-01
Load More,discovered,0,0,0,2026-05-01
Filters0,discovered,0,0,0,2026-05-01
Reset,discovered,0,0,0,2026-05-01
Entrepreneurial Resources,discovered,0,0,0,2026-05-01
Search,discovered,0,0,0,2026-05-01
Consumer & Retail,discovered,0,0,0,2026-05-01
Frontier,discovered,0,0,0,2026-05-01
Sustainability,discovered,0,0,0,2026-05-01
Digital Health,discovered,0,0,0,2026-05-01
MedTech & Diagnostics,discovered,0,0,0,2026-05-01
Therapeutics,discovered,0,0,0,2026-05-01
Select Exits,discovered,0,0,0,2026-05-01
View More,discovered,0,0,0,2026-05-01
AI benefiting humanity,discovered,0,0,0,2026-05-01
Transforming the way we eat,discovered,0,0,0,2026-05-01
Fueling human potential through optimal sleep,discovered,0,0,0,2026-05-01
One-stop shop for wholesale,discovered,0,0,0,2026-05-01
One dedicated handyman for your home,discovered,0,0,0,2026-05-01
Hyper-personalized stories powered by AI,discovered,0,0,0,2026-05-01
Sell a home in minutes,discovered,0,0,0,2026-05-01
Rebuilding higher ed for the AI era,discovered,0,0,0,2026-05-01
Watch live sports with friends,discovered,0,0,0,2026-05-01
Personalized automated oral health system,discovered,0,0,0,2026-05-01
AI gamemaker,discovered,0,0,0,2026-05-01
Clinical grade headband to improve sleep,discovered,0,0,0,2026-05-01
Largest music game on Roblox,discovered,0,0,0,2026-05-01
Proteomics for precision organ health,discovered,0,0,0,2026-05-01
Building a native AI foundational model for Japan,discovered,0,0,0,2026-05-01
Empowering a billion software developers,discovered,0,0,0,2026-05-01
Serverless Postgres,discovered,0,0,0,2026-05-01
AI applications for the Fortune 500,discovered,0,0,0,2026-05-01
AI-native FP&A software & data management,discovered,0,0,0,2026-05-01
AI accountant,discovered,0,0,0,2026-05-01
AI-native ERP,discovered,0,0,0,2026-05-01
Legal AI contract review & drafting,discovered,0,0,0,2026-05-01
AI-native digital identity protection,discovered,0,0,0,2026-05-01
Real-time data warehouse and open-source database,discovered,0,0,0,2026-05-01
Adapting the web for AIs,discovered,0,0,0,2026-05-01
Chip design reimagined with AI,discovered,0,0,0,2026-05-01
Automated analog layout,discovered,0,0,0,2026-05-01
Copilot for architects and interior designers,discovered,0,0,0,2026-05-01
Building the full-stack for Generative AI in India,discovered,0,0,0,2026-05-01
AI assistant to transcribe and summarize meetings,discovered,0,0,0,2026-05-01
Staying on top of cyber threats,discovered,0,0,0,2026-05-01
Self-service analytics for the modern data stack,discovered,0,0,0,2026-05-01
Simplified business communications,discovered,0,0,0,2026-05-01
Antivirus software to prevent rather than detect,discovered,0,0,0,2026-05-01
Enabling businesses to participate in the economy,discovered,0,0,0,2026-05-01
Financial infrastructure for the Internet,discovered,0,0,0,2026-05-01
Credit card using your home equity for lower rates,discovered,0,0,0,2026-05-01
Pay over time without hidden fees,discovered,0,0,0,2026-05-01
Co-branded financial products,discovered,0,0,0,2026-05-01
Finance simplified,discovered,0,0,0,2026-05-01
Cyber insurance,discovered,0,0,0,2026-05-01
Real estate investing for everyone,discovered,0,0,0,2026-05-01
Improving access to affordable credit with AI,discovered,0,0,0,2026-05-01
AI lab building world models,discovered,0,0,0,2026-05-01
Self-driving trucks,discovered,0,0,0,2026-05-01
Next-generation defense systems,discovered,0,0,0,2026-05-01
Universal manufacturing network,discovered,0,0,0,2026-05-01
Structured cognition in machines,discovered,0,0,0,2026-05-01
AI-powered weather balloons,discovered,0,0,0,2026-05-01
Building delivery bots,discovered,0,0,0,2026-05-01
