company_name,activity_type,role_count,post_count,priority_score,last_updated
Deloitte,hiring_only,13,0,2,2026-01-16
Crypto,hiring_only,1,0,2,2026-01-16
Perennial,hiring_only,1,0,2,2026-01-16
Hiring Companies,hiring_only,1,0,2,2026-01-16
form LeadNew,hiring_only,1,0,2,2026-01-16
Check Point,talking_only,0,6,1,2026-01-16
Palo Alto Networks,talking_only,0,4,1,2026-01-16
CrowdStrike,talking_only,0,4,1,2026-01-16
Cisco Security,talking_only,0,2,1,2026-01-16
DoorDashDoorDash is an on-demand delivery service.,discovered,0,0,0,2026-01-16
Strategic Partnerships,discovered,0,0,0,2026-01-16
AI,discovered,0,0,0,2026-01-16
American Dynamism,discovered,0,0,0,2026-01-16
Consumer,discovered,0,0,0,2026-01-16
Enterprise,discovered,0,0,0,2026-01-16
Fintech,discovered,0,0,0,2026-01-16
Infrastructure,discovered,0,0,0,2026-01-16
Speedrun,discovered,0,0,0,2026-01-16
Growth,discovered,0,0,0,2026-01-16
Cultural Leadership Fund,discovered,0,0,0,2026-01-16
Talent x Opportunity,discovered,0,0,0,2026-01-16
See More Results,discovered,0,0,0,2026-01-16
Machine & Deep Learning,discovered,0,0,0,2026-01-16
Education,discovered,0,0,0,2026-01-16
Marketplaces,discovered,0,0,0,2026-01-16
Web3,discovered,0,0,0,2026-01-16
go to top,discovered,0,0,0,2026-01-16
Terms of Use,discovered,0,0,0,2026-01-16
Conduct,discovered,0,0,0,2026-01-16
Privacy Policy,discovered,0,0,0,2026-01-16
Disclosures,discovered,0,0,0,2026-01-16
HomeH,discovered,0,0,0,2026-01-16
cookie policy,discovered,0,0,0,2026-01-16
Accept,discovered,0,0,0,2026-01-16
Decline,discovered,0,0,0,2026-01-16
Explore,discovered,0,0,0,2026-01-16
Load More,discovered,0,0,0,2026-01-16
Filters0,discovered,0,0,0,2026-01-16
Reset,discovered,0,0,0,2026-01-16
Entrepreneurial Resources,discovered,0,0,0,2026-01-16
Search,discovered,0,0,0,2026-01-16
Consumer & Retail,discovered,0,0,0,2026-01-16
Frontier,discovered,0,0,0,2026-01-16
Sustainability,discovered,0,0,0,2026-01-16
Digital Health,discovered,0,0,0,2026-01-16
MedTech & Diagnostics,discovered,0,0,0,2026-01-16
Therapeutics,discovered,0,0,0,2026-01-16
Select Exits,discovered,0,0,0,2026-01-16
View More,discovered,0,0,0,2026-01-16
AI benefiting humanity,discovered,0,0,0,2026-01-16
Transforming the way we eat,discovered,0,0,0,2026-01-16
Fueling human potential through optimal sleep,discovered,0,0,0,2026-01-16
One-stop shop for wholesale,discovered,0,0,0,2026-01-16
One dedicated handyman for your home,discovered,0,0,0,2026-01-16
Hyper-personalized stories powered by AI,discovered,0,0,0,2026-01-16
Sell a home in minutes,discovered,0,0,0,2026-01-16
Rebuilding higher ed for the AI era,discovered,0,0,0,2026-01-16
Watch live sports with friends,discovered,0,0,0,2026-01-16
Personalized automated oral health system,discovered,0,0,0,2026-01-16
AI gamemaker,discovered,0,0,0,2026-01-16
Clinical grade headband to improve sleep,discovered,0,0,0,2026-01-16
Largest music game on Roblox,discovered,0,0,0,2026-01-16
Proteomics for precision organ health,discovered,0,0,0,2026-01-16
Building a native AI foundational model for Japan,discovered,0,0,0,2026-01-16
Empowering a billion software developers,discovered,0,0,0,2026-01-16
Serverless Postgres,discovered,0,0,0,2026-01-16
AI applications for the Fortune 500,discovered,0,0,0,2026-01-16
AI-native FP&A software & data management,discovered,0,0,0,2026-01-16
AI accountant,discovered,0,0,0,2026-01-16
AI-native ERP,discovered,0,0,0,2026-01-16
Legal AI contract review & drafting,discovered,0,0,0,2026-01-16
AI-native digital identity protection,discovered,0,0,0,2026-01-16
Real-time data warehouse and open-source database,discovered,0,0,0,2026-01-16
Adapting the web for AIs,discovered,0,0,0,2026-01-16
Chip design reimagined with AI,discovered,0,0,0,2026-01-16
Automated analog layout,discovered,0,0,0,2026-01-16
