company_name,activity_type,role_count,post_count,priority_score,last_updated
IBM,hiring_only,12,0,2,2025-12-26
Hiring Companies,hiring_only,1,0,2,2025-12-26
ion SecurityNew,hiring_only,1,0,2,2025-12-26
General Dynamics Information Technology,hiring_only,1,0,2,2025-12-26
Check Point,talking_only,0,7,1,2025-12-26
Palo Alto Networks,talking_only,0,6,1,2025-12-26
CrowdStrike,talking_only,0,3,1,2025-12-26
Cisco Security,talking_only,0,2,1,2025-12-26
es to apply for maximum exposure.Apply,discovered,0,0,0,2025-12-26
es to apply for maximum exposure.,discovered,0,0,0,2025-12-26
ed TodayTS,discovered,0,0,0,2025-12-26
ed TodaySecretNot SpecifiedIntroduction A career in,discovered,0,0,0,2025-12-26
ed TodaySecretNot Specified,discovered,0,0,0,2025-12-26
