publisher,title,author,url,published_at,source
Palo Alto Networks,Five Browser and AI Security Questions Keeping CxOs up at Night,Yonatan Gotlib,https://www.paloaltonetworks.com/blog/2026/03/five-browser-ai-security-questions-keeping-cxos/,"Tue, 31 Mar 2026 12:00:30 +0000",RSS Feed
Cisco Security,Mobile World Congress 2026: AI-powered Network Security,"Jessica (Bair) Oppenheimer,",https://blogs.cisco.com/security/mwc-2026-soc/,"Thu, 09 Apr 2026 12:05:00 +0000",RSS Feed
Cisco Security,AI-powered Network Security at the Mobile World Congress 2026 SNOC,"Apostolos Kouloukourgiotis,",https://blogs.cisco.com/security/mwc-2026-ai-network-security/,"Thu, 09 Apr 2026 12:00:00 +0000",RSS Feed
Cisco Security,Data Optimization in Security: A Splunk Architect’s Perspective,"Jeff Yeo,",https://blogs.cisco.com/security/data-optimization-in-security-splunk-architects-perspective/,"Wed, 08 Apr 2026 12:00:00 +0000",RSS Feed
CrowdStrike,April 2026 Patch Tuesday: Two Zero-Days and Eight Critical Vulnerabilities Among 164 CVEs,Falcon Exposure Management Team,https://www.crowdstrike.com/en-us/blog/patch-tuesday-analysis-april-2026/,"Apr 14, 2026 00:00:00-0500",RSS Feed
CrowdStrike,"Anthropic Claude Mythos Preview: The More Capable AI Becomes, the More Security It Needs",CrowdStrike,https://www.crowdstrike.com/en-us/blog/crowdstrike-founding-member-anthropic-mythos-frontier-model-to-secure-ai/,"Apr 06, 2026 00:00:00-0400",RSS Feed
CrowdStrike,How Charlotte AI AgentWorks Fuels Security's Agentic Ecosystem,Lucia Stanham,https://www.crowdstrike.com/en-us/blog/how-charlotte-ai-agentworks-fuels-securitys-agentic-ecosystem/,"Mar 25, 2026 00:00:00-0500",RSS Feed
CrowdStrike,CrowdStrike Flex for Services Expands Access to Elite Security Expertise,JJ Cranford,https://www.crowdstrike.com/en-us/blog/crowdstrike-extends-the-falcon-flex-model-to-services/,"Mar 24, 2026 00:00:00-0500",RSS Feed
CrowdStrike,Falcon Data Security Secures Data Wherever It Lives and Moves,Luke Hunsinger,https://www.crowdstrike.com/en-us/blog/falcon-data-security-secures-data-wherever-it-lives-and-moves/,"Mar 24, 2026 00:00:00-0500",RSS Feed
Check Point,The Phishing Paradox: The World’s Most Trusted Brands Are Cyber Criminals’ Entry Point of Choice,rohann@checkpoint.com,https://blog.checkpoint.com/research/the-phishing-paradox-the-worlds-most-trusted-brands-are-cyber-criminals-entry-point-of-choice/,"Thu, 16 Apr 2026 12:00:35 +0000",RSS Feed
Check Point,Why Manufacturing Cyber Security is Becoming More Complex as Cyber Attacks Accelerate,lizwu@checkpoint.com,https://blog.checkpoint.com/security/why-manufacturing-cyber-security-is-becoming-more-complex-as-cyber-attacks-accelerate/,"Mon, 13 Apr 2026 13:50:09 +0000",RSS Feed
Check Point,March 2026 Cyber Threat Landscape Shows No Relief as Ransomware Rebounds and GenAI Risks Intensify,rohann@checkpoint.com,https://blog.checkpoint.com/research/march-2026-cyber-threat-landscape-shows-no-relief-as-ransomware-rebounds-and-genai-risks-intensify/,"Thu, 09 Apr 2026 12:00:06 +0000",RSS Feed
Check Point,Tax Season 2026: How Cyber Criminals Are Preparing Their Attacks Months in Advance,rohann@checkpoint.com,https://blog.checkpoint.com/research/tax-season-2026-how-cyber-criminals-are-preparing-their-attacks-months-in-advance/,"Thu, 02 Apr 2026 15:32:17 +0000",RSS Feed
Check Point,Claude Mythos Wake-Up Call: What AI Vulnerability Discovery Means for Cyber Defense,rohann@checkpoint.com,https://blog.checkpoint.com/artificial-intelligence/claude-mythos-wake-up-call-what-ai-vulnerability-discovery-means-for-cyber-defense/,"Wed, 01 Apr 2026 19:37:48 +0000",RSS Feed
Check Point,"Iran-nexus Password Spray Campaign Targeting Cloud Environments, with a Focus on the Middle East",rohann@checkpoint.com,https://blog.checkpoint.com/research/iran-nexus-password-spray-campaign-targeting-cloud-environments-with-a-focus-on-the-middle-east/,"Tue, 31 Mar 2026 12:57:03 +0000",RSS Feed
Check Point,When Trusted Software Updates Become the Attack Vector: Inside Operation TrueChaos and a New Zero Day Vulnerability in a Popular Collaboration Tool,rohann@checkpoint.com,https://blog.checkpoint.com/research/when-trusted-software-updates-become-the-attack-vector-inside-operation-truechaos-and-a-new-zero-day-vulnerability-in-a-popular-collaboration-tool/,"Tue, 31 Mar 2026 12:00:01 +0000",RSS Feed
