company_name,activity_type,role_count,post_count,priority_score,last_updated
Guidehouse,hiring_only,16,0,2,2026-03-06
Crypto,hiring_only,1,0,2,2026-03-06
Perennial,hiring_only,1,0,2,2026-03-06
Hiring Companies,hiring_only,1,0,2,2026-03-06
ion System Security Specialist AnalystNew,hiring_only,1,0,2,2026-03-06
Program ManagerNew,hiring_only,1,0,2,2026-03-06
Cisco Security,talking_only,0,6,1,2026-03-06
CrowdStrike,talking_only,0,6,1,2026-03-06
Check Point,talking_only,0,5,1,2026-03-06
Palo Alto Networks,talking_only,0,3,1,2026-03-06
Podcasts,discovered,0,0,0,2026-03-06
DoorDashDoorDash is an on-demand delivery service.,discovered,0,0,0,2026-03-06
AI,discovered,0,0,0,2026-03-06
American Dynamism,discovered,0,0,0,2026-03-06
Consumer,discovered,0,0,0,2026-03-06
Cultural Leadership Fund,discovered,0,0,0,2026-03-06
Enterprise,discovered,0,0,0,2026-03-06
Fintech,discovered,0,0,0,2026-03-06
Growth,discovered,0,0,0,2026-03-06
Infrastructure,discovered,0,0,0,2026-03-06
Speedrun,discovered,0,0,0,2026-03-06
Investing in Lio,discovered,0,0,0,2026-03-06
Investing in Ease,discovered,0,0,0,2026-03-06
Podcast Network,discovered,0,0,0,2026-03-06
Books,discovered,0,0,0,2026-03-06
College Talent,discovered,0,0,0,2026-03-06
Crypto Startup Accelerator,discovered,0,0,0,2026-03-06
Offices,discovered,0,0,0,2026-03-06
Strategic Partnerships,discovered,0,0,0,2026-03-06
Youtube-alt,discovered,0,0,0,2026-03-06
Substack,discovered,0,0,0,2026-03-06
Portfolio Jobs Board,discovered,0,0,0,2026-03-06
Terms of Use,discovered,0,0,0,2026-03-06
Privacy Policy,discovered,0,0,0,2026-03-06
Disclosures,discovered,0,0,0,2026-03-06
Sitemap,discovered,0,0,0,2026-03-06
Load More,discovered,0,0,0,2026-03-06
Filters0,discovered,0,0,0,2026-03-06
Reset,discovered,0,0,0,2026-03-06
Entrepreneurial Resources,discovered,0,0,0,2026-03-06
Search,discovered,0,0,0,2026-03-06
Consumer & Retail,discovered,0,0,0,2026-03-06
Frontier,discovered,0,0,0,2026-03-06
Sustainability,discovered,0,0,0,2026-03-06
Digital Health,discovered,0,0,0,2026-03-06
MedTech & Diagnostics,discovered,0,0,0,2026-03-06
Therapeutics,discovered,0,0,0,2026-03-06
Select Exits,discovered,0,0,0,2026-03-06
View More,discovered,0,0,0,2026-03-06
AI benefiting humanity,discovered,0,0,0,2026-03-06
Transforming the way we eat,discovered,0,0,0,2026-03-06
Fueling human potential through optimal sleep,discovered,0,0,0,2026-03-06
One-stop shop for wholesale,discovered,0,0,0,2026-03-06
One dedicated handyman for your home,discovered,0,0,0,2026-03-06
Hyper-personalized stories powered by AI,discovered,0,0,0,2026-03-06
Sell a home in minutes,discovered,0,0,0,2026-03-06
Rebuilding higher ed for the AI era,discovered,0,0,0,2026-03-06
Watch live sports with friends,discovered,0,0,0,2026-03-06
Personalized automated oral health system,discovered,0,0,0,2026-03-06
AI gamemaker,discovered,0,0,0,2026-03-06
Clinical grade headband to improve sleep,discovered,0,0,0,2026-03-06
Largest music game on Roblox,discovered,0,0,0,2026-03-06
Proteomics for precision organ health,discovered,0,0,0,2026-03-06
Building a native AI foundational model for Japan,discovered,0,0,0,2026-03-06
Empowering a billion software developers,discovered,0,0,0,2026-03-06
Serverless Postgres,discovered,0,0,0,2026-03-06
AI applications for the Fortune 500,discovered,0,0,0,2026-03-06
AI-native FP&A software & data management,discovered,0,0,0,2026-03-06
AI accountant,discovered,0,0,0,2026-03-06
AI-native ERP,discovered,0,0,0,2026-03-06
Legal AI contract review & drafting,discovered,0,0,0,2026-03-06
AI-native digital identity protection,discovered,0,0,0,2026-03-06
Real-time data warehouse and open-source database,discovered,0,0,0,2026-03-06
Adapting the web for AIs,discovered,0,0,0,2026-03-06
Chip design reimagined with AI,discovered,0,0,0,2026-03-06
Automated analog layout,discovered,0,0,0,2026-03-06
Copilot for architects and interior designers,discovered,0,0,0,2026-03-06
Building the full-stack for Generative AI in India,discovered,0,0,0,2026-03-06
AI assistant to transcribe and summarize meetings,discovered,0,0,0,2026-03-06
Staying on top of cyber threats,discovered,0,0,0,2026-03-06
Self-service analytics for the modern data stack,discovered,0,0,0,2026-03-06
Simplified business communications,discovered,0,0,0,2026-03-06
Antivirus software to prevent rather than detect,discovered,0,0,0,2026-03-06
Enabling businesses to participate in the economy,discovered,0,0,0,2026-03-06
Financial infrastructure for the Internet,discovered,0,0,0,2026-03-06
Credit card using your home equity for lower rates,discovered,0,0,0,2026-03-06
Pay over time without hidden fees,discovered,0,0,0,2026-03-06
Co-branded financial products,discovered,0,0,0,2026-03-06
Finance simplified,discovered,0,0,0,2026-03-06
Cyber insurance,discovered,0,0,0,2026-03-06
Real estate investing for everyone,discovered,0,0,0,2026-03-06
Improving access to affordable credit with AI,discovered,0,0,0,2026-03-06
Self-driving trucks,discovered,0,0,0,2026-03-06
Next-generation defense systems,discovered,0,0,0,2026-03-06
Universal manufacturing network,discovered,0,0,0,2026-03-06
Structured cognition in machines,discovered,0,0,0,2026-03-06
AI-powered weather balloons,discovered,0,0,0,2026-03-06
Building delivery bots,discovered,0,0,0,2026-03-06
Revolutionizing analog computing for AI,discovered,0,0,0,2026-03-06
Intelligent robotics for item handling,discovered,0,0,0,2026-03-06
Manufacturing in space,discovered,0,0,0,2026-03-06
High-resolution imaging satellites,discovered,0,0,0,2026-03-06
Limitless clean fusion energy,discovered,0,0,0,2026-03-06
High-capacity urban mass transit,discovered,0,0,0,2026-03-06
Forging the future of steel,discovered,0,0,0,2026-03-06
Fertilizer from air,discovered,0,0,0,2026-03-06
Extracting heat from superhot rocks,discovered,0,0,0,2026-03-06
Cell-free biomanufacturing platform,discovered,0,0,0,2026-03-06
Circular apparel,discovered,0,0,0,2026-03-06
Energy storage solution,discovered,0,0,0,2026-03-06
Direct air capture at scale,discovered,0,0,0,2026-03-06
Using perovskites for lower-cost solar,discovered,0,0,0,2026-03-06
Capturing Rubisco protein from green leaves,discovered,0,0,0,2026-03-06
Solid state lithium batteries,discovered,0,0,0,2026-03-06
Local power generation for a zero-carbon future,discovered,0,0,0,2026-03-06
Changing agriculture with intelligent machinery,discovered,0,0,0,2026-03-06
Transforming pollution into sustainable fuels,discovered,0,0,0,2026-03-06
Freeing the world from pain,discovered,0,0,0,2026-03-06
AI therapist,discovered,0,0,0,2026-03-06
AI for Clinical Conversations,discovered,0,0,0,2026-03-06
Transforming cardiologic care using deep learning,discovered,0,0,0,2026-03-06
AI tool enabling oncologists,discovered,0,0,0,2026-03-06
Neighborhood primary care for people on Medicare,discovered,0,0,0,2026-03-06
AI prediction system for cancer,discovered,0,0,0,2026-03-06
Making family care possible,discovered,0,0,0,2026-03-06
AI radiology workflow automation tool,discovered,0,0,0,2026-03-06
AI copilot for physicians,discovered,0,0,0,2026-03-06
AI-assisted primary care,discovered,0,0,0,2026-03-06
Emotionally intelligent AI care management,discovered,0,0,0,2026-03-06
Exercise platform to prevent falls,discovered,0,0,0,2026-03-06
In-the-moment care for every emotion,discovered,0,0,0,2026-03-06
Empowering people to improve their heart health,discovered,0,0,0,2026-03-06
Robots for biologists,discovered,0,0,0,2026-03-06
Rapid diagnostic tests that read the immune system,discovered,0,0,0,2026-03-06
Transforming cancer care through blood tests,discovered,0,0,0,2026-03-06
Biohybrid brain computer interface,discovered,0,0,0,2026-03-06
Neonatal platform for preterm infants,discovered,0,0,0,2026-03-06
Building next-gen biomaterials for smart biologics,discovered,0,0,0,2026-03-06
Advanced infectious disease diagnostics,discovered,0,0,0,2026-03-06
Medication-free depression treatment,discovered,0,0,0,2026-03-06
Lab-grown human organs for drug discovery,discovered,0,0,0,2026-03-06
Developing in vivo CAR-T therapeutics,discovered,0,0,0,2026-03-06
Extending lifespan of dogs,discovered,0,0,0,2026-03-06
Foundational models for the human cell,discovered,0,0,0,2026-03-06
Pioneering precision epigenetic medicines,discovered,0,0,0,2026-03-06
Individualized precision therapeutics,discovered,0,0,0,2026-03-06
Precision nucleic acid delivery technology,discovered,0,0,0,2026-03-06
Human-compatible organs for transplantation,discovered,0,0,0,2026-03-06
Targeting cells that cause aging,discovered,0,0,0,2026-03-06
Autonomizing stem cell therapy manufacturing,discovered,0,0,0,2026-03-06
Founder Experience,discovered,0,0,0,2026-03-06
Launch,discovered,0,0,0,2026-03-06
Research Hub,discovered,0,0,0,2026-03-06
Faction,discovered,0,0,0,2026-03-06
Gaming,discovered,0,0,0,2026-03-06
Events,discovered,0,0,0,2026-03-06
Lighthouse,discovered,0,0,0,2026-03-06
Portfolio Jobs,discovered,0,0,0,2026-03-06
Filter options,discovered,0,0,0,2026-03-06
Filter Sectorall,discovered,0,0,0,2026-03-06
Filter Locationall,discovered,0,0,0,2026-03-06
Filter investmentsBOTH,discovered,0,0,0,2026-03-06
AirboundLSIP Investment,discovered,0,0,0,2026-03-06
AledadeFounded2014BackedSince2023StatusPrivate,discovered,0,0,0,2026-03-06
