company_name,activity_type,role_count,post_count,priority_score,last_updated
"Totally Joined For Achieving Collaborative Techniques, LLC",hiring_only,7,0,2,2026-03-27
RightDirection Technology Solutions,hiring_only,5,0,2,2026-03-27
Perennial,hiring_only,1,0,2,2026-03-27
Hiring Companies,hiring_only,1,0,2,2026-03-27
CrowdStrike,talking_only,0,5,1,2026-03-27
Check Point,talking_only,0,5,1,2026-03-27
Cisco Security,talking_only,0,3,1,2026-03-27
Palo Alto Networks,talking_only,0,2,1,2026-03-27
Podcasts,discovered,0,0,0,2026-03-27
DoorDashDoorDash is an on-demand delivery service.,discovered,0,0,0,2026-03-27
AI,discovered,0,0,0,2026-03-27
American Dynamism,discovered,0,0,0,2026-03-27
Consumer,discovered,0,0,0,2026-03-27
Crypto,discovered,0,0,0,2026-03-27
Cultural Leadership Fund,discovered,0,0,0,2026-03-27
Enterprise,discovered,0,0,0,2026-03-27
Fintech,discovered,0,0,0,2026-03-27
Growth,discovered,0,0,0,2026-03-27
Infrastructure,discovered,0,0,0,2026-03-27
Speedrun,discovered,0,0,0,2026-03-27
Investing in Glimpse,discovered,0,0,0,2026-03-27
The Algorithm That Keeps Compounding,discovered,0,0,0,2026-03-27
The Missing Power Layer of Modern Warfare,discovered,0,0,0,2026-03-27
There are only two paths left for software,discovered,0,0,0,2026-03-27
Podcast Network,discovered,0,0,0,2026-03-27
Books,discovered,0,0,0,2026-03-27
a16z Build,discovered,0,0,0,2026-03-27
College Talent,discovered,0,0,0,2026-03-27
Offices,discovered,0,0,0,2026-03-27
Strategic Partnerships,discovered,0,0,0,2026-03-27
Youtube-alt,discovered,0,0,0,2026-03-27
Substack,discovered,0,0,0,2026-03-27
Portfolio Jobs Board,discovered,0,0,0,2026-03-27
Terms of Use,discovered,0,0,0,2026-03-27
Privacy Policy,discovered,0,0,0,2026-03-27
Disclosures,discovered,0,0,0,2026-03-27
Sitemap,discovered,0,0,0,2026-03-27
Load More,discovered,0,0,0,2026-03-27
Filters0,discovered,0,0,0,2026-03-27
Reset,discovered,0,0,0,2026-03-27
Entrepreneurial Resources,discovered,0,0,0,2026-03-27
Search,discovered,0,0,0,2026-03-27
Consumer & Retail,discovered,0,0,0,2026-03-27
Frontier,discovered,0,0,0,2026-03-27
Sustainability,discovered,0,0,0,2026-03-27
Digital Health,discovered,0,0,0,2026-03-27
MedTech & Diagnostics,discovered,0,0,0,2026-03-27
Therapeutics,discovered,0,0,0,2026-03-27
Select Exits,discovered,0,0,0,2026-03-27
View More,discovered,0,0,0,2026-03-27
AI benefiting humanity,discovered,0,0,0,2026-03-27
Transforming the way we eat,discovered,0,0,0,2026-03-27
Fueling human potential through optimal sleep,discovered,0,0,0,2026-03-27
One-stop shop for wholesale,discovered,0,0,0,2026-03-27
One dedicated handyman for your home,discovered,0,0,0,2026-03-27
Hyper-personalized stories powered by AI,discovered,0,0,0,2026-03-27
Sell a home in minutes,discovered,0,0,0,2026-03-27
Rebuilding higher ed for the AI era,discovered,0,0,0,2026-03-27
Watch live sports with friends,discovered,0,0,0,2026-03-27
Personalized automated oral health system,discovered,0,0,0,2026-03-27
AI gamemaker,discovered,0,0,0,2026-03-27
Clinical grade headband to improve sleep,discovered,0,0,0,2026-03-27
Largest music game on Roblox,discovered,0,0,0,2026-03-27
Proteomics for precision organ health,discovered,0,0,0,2026-03-27
Building a native AI foundational model for Japan,discovered,0,0,0,2026-03-27
Empowering a billion software developers,discovered,0,0,0,2026-03-27
Serverless Postgres,discovered,0,0,0,2026-03-27
AI applications for the Fortune 500,discovered,0,0,0,2026-03-27
