company,role_count,avg_relevance,categories
Startup338,7,0.7999999999999999,"SaaS Compliance, SSPM, SaaS Security"
Startup384,7,0.857142857142857,"AI Agent Security, SaaS Security, SSPM, SaaS Compliance"
Startup326,7,0.8428571428571429,"AI Compliance, SSPM, SaaS Security, SaaS Compliance"
Startup300,6,0.8166666666666665,"SaaS Security, SSPM, SaaS Compliance, AI Compliance"
Startup68,6,0.8166666666666665,"SaaS Security, SSPM, SaaS Compliance, AI Compliance"
Startup370,6,0.8333333333333331,"SaaS Compliance, SSPM, SaaS Security"
American Express,6,0.8333333333333334,"SaaS Compliance, SSPM, SaaS Security, AI Compliance"
Startup201,6,0.8250000000000001,"SaaS Security, SSPM"
Startup217,6,0.8249999999999998,"AI Agent Security, SaaS Compliance, SSPM, SaaS Security"
Startup249,6,0.8416666666666668,"SaaS Compliance, SSPM, SaaS Security"
Startup315,6,0.8249999999999998,"SaaS Security, SSPM"
Startup260,6,0.8416666666666668,"AI Compliance, SSPM, SaaS Security, SaaS Compliance"
Shell,5,0.79,"SaaS Security, SaaS Compliance"
Sprint,5,0.85,"SaaS Compliance, SSPM, SaaS Security"
Startup111,5,0.85,"SaaS Security, SSPM, SaaS Compliance"
Startup344,5,0.78,"AI Agent Security, SaaS Compliance, SSPM"
Startup367,5,0.86,"SaaS Security, SSPM"
Startup60,5,0.82,"AI Agent Security, SaaS Security, SSPM"
Etsy,5,0.8400000000000001,"SaaS Security, SSPM"
Startup148,5,0.8699999999999999,"SaaS Security, SSPM"
