company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup186,,AI Compliance,"Denver, CO",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,,"generative ai compliance, sanctioned it, autonomous agent security"
Startup299,,AI Agent Security,"London, UK",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,,"saas compliance, llm compliance, ai agent risk, ai agent security"
Startup317,,AI Agent Security,"Boston, MA",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,,"ai compliance, ai governance, ai agent security"
Startup90,,SSPM,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"sspm, cloud application security, cloud compliance, sanctioned it"
Startup45,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,,"saas security posture, llm security, saas governance"
Startup158,,SSPM,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"sspm, saas risk"
Startup372,,SaaS Security,Hybrid - Bay Area,0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,,"cloud application security, llm security"
Startup332,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,,"saas risk, generative ai compliance, saas audit, shadow it, saas posture management"
JPMorgan,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"cloud application security, shadow it, sspm, autonomous agent security"
Intel,,AI Compliance,"Austin, TX",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"generative ai compliance, ai security, sanctioned it"
Zendesk,,SSPM,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,,"security posture management, autonomous agent security, saas posture management"
Startup208,,SaaS Security,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,,"saas compliance, ai agent security, cloud app security, ai policy, llm security"
Startup287,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,,"saas posture management, genai security"
Startup274,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,,"security posture management, ai security, ai compliance"
Startup363,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,,"ai security, sanctioned it, saas governance, ai governance, saas audit"
Morgan Stanley,,AI Compliance,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,,"sanctioned it, autonomous agent security, genai security, ai governance, generative ai compliance"
Startup189,,SSPM,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"saas governance, saas audit, saas risk, ai policy, shadow it"
Startup56,,AI Compliance,"Seattle, WA",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,,"cloud governance, ai policy, ai compliance, cloud compliance, ai governance"
Startup24,,AI Agent Security,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,,"autonomous agent security, generative ai compliance, shadow it, genai security"
Startup229,,AI Compliance,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"saas risk, generative ai compliance, ai security"
Startup171,,SSPM,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,,"saas risk, cloud governance, ai compliance, saas posture management"
Startup315,,SaaS Security,"Austin, TX",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"cloud governance, llm security, shadow it"
Startup296,,AI Agent Security,"Toronto, Canada",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"ai security, llm security, ai policy"
Startup222,,SaaS Security,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,,"saas risk, saas security, ai policy"
Startup240,,SaaS Compliance,"Denver, CO",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,,"cloud application security, ai governance, cloud governance, saas compliance"
Proofpoint,,SSPM,"Denver, CO",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=incident-response-engineer,,"saas risk, ai policy"
Startup180,,SaaS Compliance,Remote,0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"saas compliance, sanctioned it"
Startup47,,SSPM,"San Francisco, CA",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-posture-manager,,"saas security posture, ai compliance, saas posture management, shadow it, ai agent risk"
Startup122,,SSPM,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"ai agent risk, ai agent security, shadow it, saas posture management, saas audit"
Startup361,,SaaS Security,"San Francisco, CA",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"saas governance, autonomous agent security, security posture management, ai compliance, saas security"
Startup158,,SSPM,Remote,0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"autonomous agent security, security posture management, saas compliance, cloud compliance, saas security posture"
Startup25,,SSPM,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,,"cloud governance, saas audit"
Startup230,,SSPM,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-team-lead,,"security posture management, saas governance, sspm"
Startup120,,AI Agent Security,"London, UK",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"sanctioned it, ai compliance, llm compliance, ai agent security, llm security"
Startup324,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"ai agent risk, cloud application security, llm compliance, llm security, security posture management"
Startup30,,SSPM,"London, UK",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"generative ai compliance, saas audit, saas security posture"
Startup34,,SaaS Security,Remote,0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,,"shadow it, cloud application security, ai governance, generative ai compliance, saas security"
Startup397,,SaaS Security,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,,"generative ai compliance, ai security, saas security, saas risk, shadow it"
Startup226,,SaaS Compliance,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"saas compliance, saas security, cloud governance"
Startup367,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,,"cloud app security, saas compliance, sanctioned it, shadow it"
Startup110,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,,"cloud app security, ai governance, sanctioned it, ai security, sspm"
Kaiser Permanente,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,,"saas governance, saas risk"
Startup218,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,,"shadow it, security posture management, cloud governance, ai policy, ai agent risk"
Startup39,,SaaS Security,"London, UK",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"llm compliance, cloud app security, cloud governance, llm security"
Startup181,,SaaS Security,"Toronto, Canada",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,,"ai agent security, saas security, shadow it, ai security, cloud compliance"
Startup27,,SSPM,"Toronto, Canada",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,,"saas posture management, ai agent risk, cloud app security, shadow it, genai security"
Startup56,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,,"saas security posture, cloud application security, genai security, cloud compliance"
Startup364,,SSPM,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"saas audit, shadow it, ai policy, saas security"
Startup93,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"generative ai compliance, ai governance, sspm"
Startup93,,SaaS Compliance,"Seattle, WA",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,,"llm compliance, cloud compliance"
Startup28,,SSPM,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,,"sspm, shadow it, ai compliance"
Startup257,,AI Compliance,Remote (US),0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,,"ai security, ai governance, genai security, ai policy"
Startup373,,SaaS Security,"Austin, TX",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,,"llm security, genai security, saas security, ai agent security, shadow it"
DocuSign,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,,"genai security, shadow it, ai compliance, saas audit, llm security"
Oracle,,SSPM,"New York, NY",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,,"saas posture management, saas governance, ai policy, cloud application security, ai agent security"
Startup86,,SSPM,Remote,0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"saas security, ai agent security, saas posture management, saas governance, saas security posture"
Startup81,,SaaS Compliance,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,,"saas compliance, llm compliance"
Startup80,,AI Compliance,"New York, NY",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"llm compliance, sanctioned it, cloud governance, ai security"
Startup213,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,,"sanctioned it, cloud app security, sspm, llm security, saas risk"
Okta,,AI Compliance,Remote,0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"ai agent risk, generative ai compliance"
Startup171,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,,"sspm, saas risk"
Startup141,,SaaS Security,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,,"genai security, saas governance"
Startup218,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,,"ai governance, cloud app security, ai compliance, saas security posture"
Startup378,,AI Agent Security,Remote (US),0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,,"ai governance, ai agent security, llm security, genai security"
American Express,,AI Agent Security,"New York, NY",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,,"llm security, ai policy, ai agent risk, ai governance"
Tenable,,SSPM,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,,"ai policy, ai security, saas posture management, saas compliance, llm compliance"
Startup312,,SaaS Security,"Denver, CO",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,,"ai security, cloud app security, saas governance"
Startup19,,SaaS Security,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,,"ai agent security, llm compliance, cloud application security"
Kaiser Permanente,,AI Agent Security,"New York, NY",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-team-lead,,"ai agent risk, ai agent security"
ExxonMobil,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,,"genai security, generative ai compliance, cloud governance, saas audit, sspm"
Startup16,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,,"ai security, cloud governance, saas security posture, saas audit"
Startup268,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,,"ai security, llm compliance, shadow it, saas audit, cloud governance"
