company,role_count,avg_relevance,categories
Fortinet,7,0.8499999999999999,"SaaS Compliance, SSPM, SaaS Security"
Startup338,6,0.8166666666666665,"SaaS Compliance, AI Agent Security, SSPM, SaaS Security"
Startup62,6,0.8166666666666668,"AI Compliance, AI Agent Security, SSPM, SaaS Security"
Comcast,6,0.85,"SaaS Compliance, AI Agent Security, SSPM, SaaS Security"
Startup127,6,0.8583333333333333,"SaaS Compliance, SSPM, SaaS Security"
Startup173,6,0.8166666666666665,"AI Compliance, SaaS Compliance, SSPM"
Startup205,6,0.8166666666666665,"AI Compliance, SaaS Compliance, SSPM"
Palo Alto Networks,5,0.8200000000000001,"AI Compliance, SaaS Compliance, SSPM, SaaS Security"
Startup20,5,0.8099999999999999,"AI Compliance, SaaS Compliance, SSPM"
Verizon,5,0.8400000000000001,"SSPM, SaaS Security"
Zscaler,5,0.82,"SaaS Compliance, AI Agent Security, SSPM"
Startup327,5,0.8699999999999999,"SaaS Compliance, SSPM"
Startup172,5,0.79,"AI Agent Security, SSPM, SaaS Security"
SentinelOne,5,0.8300000000000001,"SSPM, SaaS Security"
Startup365,5,0.86,"SSPM, SaaS Security"
Startup118,5,0.8299999999999998,"AI Agent Security, SSPM, SaaS Security"
Startup265,5,0.8299999999999998,"SaaS Compliance, AI Agent Security, SSPM, SaaS Security"
Startup80,5,0.8299999999999998,"SaaS Compliance, SSPM, SaaS Security"
Intel,5,0.8300000000000001,"SaaS Compliance, SSPM"
Startup395,5,0.86,"SaaS Compliance, SSPM"
