company,role_count,avg_relevance,categories
Twilio,15,0.8433333333333333,"SaaS Compliance, SSPM, AI Compliance, SaaS Security"
Abnormal Security,13,0.8346153846153845,"AI Compliance, SSPM, SaaS Security, SaaS Compliance"
ForeScout,13,0.8269230769230768,"AI Compliance, SSPM, SaaS Compliance, SaaS Security"
Kubernetes,11,0.8136363636363636,"AI Agent Security, AI Compliance, SaaS Security, SSPM, SaaS Compliance"
Dropbox,11,0.859090909090909,"SSPM, SaaS Security"
BeyondTrust,10,0.845,"SSPM, SaaS Compliance, SaaS Security"
Intercom,10,0.8499999999999999,"SSPM, SaaS Security"
Proofpoint,10,0.8349999999999997,"SSPM, SaaS Security"
ExxonMobil,10,0.835,"AI Agent Security, AI Compliance, SaaS Security, SSPM, SaaS Compliance"
A10 Networks,10,0.825,"AI Agent Security, AI Compliance, SaaS Security, SSPM, SaaS Compliance"
Elastic,9,0.8722222222222222,"SSPM, SaaS Security"
Aqua Security,9,0.8444444444444444,"SSPM, SaaS Compliance, SaaS Security"
Imperva,9,0.8333333333333334,"AI Compliance, SSPM, SaaS Security, SaaS Compliance"
MongoDB,9,0.8499999999999999,"AI Agent Security, SSPM, AI Compliance, SaaS Security"
Barracuda,9,0.8499999999999999,"AI Agent Security, SSPM, AI Compliance"
Druva,9,0.8277777777777778,"SaaS Security, AI Agent Security, AI Compliance, SaaS Compliance"
Confluent,9,0.861111111111111,"SSPM, SaaS Security"
Fastly,9,0.8555555555555555,"SaaS Security, SSPM, AI Compliance, SaaS Compliance"
WorkFusion,9,0.8444444444444443,"SSPM, SaaS Security"
SailPoint,9,0.8222222222222223,"AI Agent Security, AI Compliance, SaaS Security, SSPM, SaaS Compliance"
