company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup199,,SaaS Compliance,Remote,0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"generative ai compliance, cloud application security"
Startup3,,SaaS Security,"Toronto, Canada",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,,"sanctioned it, ai governance, autonomous agent security, saas audit, llm security"
Startup306,,SaaS Security,"Seattle, WA",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-team-lead,,"ai governance, cloud application security"
Startup307,,SSPM,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,,"cloud governance, saas governance"
Startup196,,SSPM,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,,"cloud app security, ai agent security, cloud compliance, security posture management"
Startup175,,SaaS Security,"Toronto, Canada",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,,"ai security, autonomous agent security, security posture management, cloud compliance, llm security"
Startup231,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"cloud governance, ai policy, saas security posture, cloud compliance, sspm"
Accenture,,SaaS Compliance,Remote,0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"saas compliance, llm security"
Startup334,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,,"saas security, shadow it"
Startup312,,AI Compliance,"London, UK",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"ai security, ai policy, llm compliance"
Startup88,,SaaS Compliance,"London, UK",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,,"saas compliance, cloud compliance, generative ai compliance, llm security"
Startup347,,SaaS Security,Remote,0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,,"cloud application security, autonomous agent security"
BCG,,SaaS Security,"New York, NY",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"saas risk, ai security, ai agent risk"
Startup100,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,,"generative ai compliance, saas risk, sspm, shadow it"
Startup370,,SaaS Compliance,"Austin, TX",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,,"genai security, ai policy, cloud application security, ai compliance, saas compliance"
Humana,,SaaS Security,"Boston, MA",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"llm security, saas audit"
Startup302,,SaaS Security,"Denver, CO",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,,"ai security, cloud governance, shadow it, genai security"
Startup270,,SaaS Security,"Denver, CO",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,,"ai security, genai security, ai agent security, saas security posture, saas posture management"
Startup27,,SSPM,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"saas security posture, security posture management, cloud application security, llm compliance"
Startup270,,SaaS Security,"San Francisco, CA",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"cloud governance, genai security"
Startup273,,SaaS Compliance,"Seattle, WA",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=staff-security-engineer,,"saas compliance, ai agent risk"
Startup49,,AI Agent Security,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"ai governance, llm security"
CrowdStrike,,AI Compliance,"New York, NY",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"llm security, ai security, generative ai compliance"
