company_name,activity_type,role_count,post_count,priority_score,last_updated
GoodRx,hiring_only,1,0,2,2025-12-03
Delve,hiring_only,1,0,2,2025-12-03
Applied Intuition,hiring_only,1,0,2,2025-12-03
Hive,hiring_only,1,0,2,2025-12-03
Owner,hiring_only,1,0,2,2025-12-03
Lockheed Martin,hiring_only,1,0,2,2025-12-03
Sciens Building Solutions,hiring_only,1,0,2,2025-12-03
Saildrone,hiring_only,1,0,2,2025-12-03
Sendbird,hiring_only,1,0,2,2025-12-03
Airtable,hiring_only,1,0,2,2025-12-03
Anomali,hiring_only,1,0,2,2025-12-03
xAI,hiring_only,1,0,2,2025-12-03
Rule4,hiring_only,1,0,2,2025-12-03
Virtana,hiring_only,1,0,2,2025-12-03
Integra Connect,hiring_only,1,0,2,2025-12-03
Netflix,hiring_only,1,0,2,2025-12-03
TikTok,hiring_only,1,0,2,2025-12-03
1Fivetech,hiring_only,1,0,2,2025-12-03
NuHarbor Security,hiring_only,1,0,2,2025-12-03
Happy Returns,hiring_only,1,0,2,2025-12-03
InMarket,hiring_only,1,0,2,2025-12-03
Wind River,hiring_only,1,0,2,2025-12-03
Crowell & Moring,hiring_only,1,0,2,2025-12-03
Skylight,hiring_only,1,0,2,2025-12-03
Datadog,hiring_only,1,0,2,2025-12-03
Walker & Dunlop,hiring_only,1,0,2,2025-12-03
Stratascale,hiring_only,1,0,2,2025-12-03
Invoke,hiring_only,1,0,2,2025-12-03
Apexon,hiring_only,1,0,2,2025-12-03
Four Seasons,hiring_only,1,0,2,2025-12-03
OpenAI,hiring_only,1,0,2,2025-12-03
Joint Research and Development,hiring_only,1,0,2,2025-12-03
Greenlight Group,hiring_only,1,0,2,2025-12-03
Quanata,hiring_only,1,0,2,2025-12-03
Nerdio,hiring_only,1,0,2,2025-12-03
Sacramento County Probation Department,hiring_only,1,0,2,2025-12-03
NowSecure,hiring_only,1,0,2,2025-12-03
Accurate Background,hiring_only,1,0,2,2025-12-03
Palantir Technologies,hiring_only,1,0,2,2025-12-03
Prudential,hiring_only,1,0,2,2025-12-03
Moveworksai,hiring_only,1,0,2,2025-12-03
SecurityPal,hiring_only,1,0,2,2025-12-03
Asana,hiring_only,1,0,2,2025-12-03
Fortinet,hiring_only,1,0,2,2025-12-03
Sony Electronics,hiring_only,1,0,2,2025-12-03
Teledyne Technologies,hiring_only,1,0,2,2025-12-03
Federal Bureau of Investigation,hiring_only,1,0,2,2025-12-03
Fortress Information Security,hiring_only,1,0,2,2025-12-03
Moore,hiring_only,1,0,2,2025-12-03
Synack,hiring_only,1,0,2,2025-12-03
Microsoft Security,talking_only,0,5,1,2025-12-03
CrowdStrike,talking_only,0,5,1,2025-12-03
Palo Alto Networks,talking_only,0,3,1,2025-12-03
Cisco Security,talking_only,0,2,1,2025-12-03
Check Point,talking_only,0,1,1,2025-12-03
