company,role_count,avg_relevance,categories
Startup80,6,0.8249999999999998,"SSPM, SaaS Compliance, AI Agent Security"
Lockheed Martin,6,0.8416666666666667,"SSPM, SaaS Security"
Startup135,6,0.8583333333333334,"SSPM, SaaS Compliance, SaaS Security"
Startup79,6,0.7999999999999999,"SSPM, AI Compliance, SaaS Security"
Startup58,6,0.8416666666666667,"SSPM, AI Compliance, SaaS Security"
Startup270,6,0.8416666666666667,"SSPM, AI Compliance, SaaS Security"
Startup362,6,0.85,"SSPM, AI Agent Security, SaaS Security"
Startup238,5,0.8299999999999998,"SSPM, SaaS Security, AI Agent Security"
Proofpoint,5,0.85,"SSPM, SaaS Compliance, SaaS Security"
Startup175,5,0.86,"SSPM, AI Compliance, SaaS Compliance, SaaS Security"
Startup156,5,0.85,"SSPM, AI Compliance, SaaS Security"
Cloudflare,5,0.8300000000000001,"SSPM, AI Agent Security, SaaS Security"
Startup198,5,0.8300000000000001,"SSPM, AI Compliance, SaaS Security"
Startup4,5,0.85,"SSPM, AI Compliance, SaaS Security"
Startup172,5,0.8699999999999999,"SSPM, SaaS Security"
Startup39,5,0.85,"SSPM, AI Agent Security"
Startup225,5,0.8299999999999998,SaaS Security
Startup10,5,0.8700000000000001,"SSPM, SaaS Compliance, SaaS Security"
Startup22,5,0.8399999999999999,"SSPM, AI Compliance, SaaS Security"
Startup184,5,0.8400000000000001,"SSPM, SaaS Compliance, AI Agent Security, SaaS Security"
