company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup20,,SaaS Compliance,"New York, NY",0.85,,,,"cloud governance, cloud app security, generative ai compliance, saas compliance, shadow it"
Startup319,,SSPM,"San Francisco, CA",0.85,,,,"generative ai compliance, cloud governance, saas audit, saas security posture"
Workday,,SaaS Security,"Austin, TX",0.85,,,,"ai policy, cloud compliance, ai security, saas governance, saas security posture"
Startup294,,SaaS Security,"Austin, TX",0.8,,,,"cloud compliance, shadow it, ai agent risk"
Shell,,SaaS Security,"Boston, MA",0.8,,,,"generative ai compliance, cloud application security"
Startup284,,SSPM,"Austin, TX",0.85,,,,"sanctioned it, security posture management"
Sprint,,SaaS Compliance,"New York, NY",0.85,,,,"ai security, ai policy, cloud compliance, saas compliance"
Startup250,,AI Compliance,"Toronto, Canada",0.9,,,,"llm security, shadow it, generative ai compliance, ai compliance, llm compliance"
Anthem,,SSPM,"New York, NY",0.85,,,,"saas compliance, sspm, sanctioned it, ai security"
Startup78,,AI Agent Security,"London, UK",0.7,,,,"sanctioned it, autonomous agent security"
Startup379,,SSPM,Hybrid - Bay Area,0.85,,,,"security posture management, sanctioned it, cloud governance, saas audit"
Startup111,,SSPM,Remote (US),0.85,,,,"sspm, saas risk, cloud compliance"
Startup346,,SSPM,"New York, NY",0.85,,,,"ai security, saas posture management, security posture management, ai governance, cloud governance"
ServiceNow,,SSPM,Hybrid - Bay Area,0.85,,,,"saas governance, saas security posture, shadow it"
Startup220,,SSPM,"New York, NY",0.85,,,,"ai policy, saas posture management, cloud compliance, saas compliance, ai governance"
Startup358,,SSPM,"Boston, MA",0.85,,,,"autonomous agent security, saas risk, ai policy, shadow it, sanctioned it"
Startup3,,SaaS Security,"San Francisco, CA",0.8,,,,"cloud application security, cloud app security, llm security, ai agent risk, shadow it"
Startup186,,AI Agent Security,"Denver, CO",0.9,,,,"llm security, autonomous agent security, genai security, ai agent risk, ai security"
Startup27,,AI Compliance,Hybrid - Bay Area,0.85,,,,"genai security, ai compliance, ai agent risk, security posture management"
Startup71,,AI Compliance,"Seattle, WA",0.8,,,,"llm compliance, generative ai compliance"
Snyk,,AI Compliance,"Austin, TX",0.7,,,,"ai governance, generative ai compliance"
Startup331,,SSPM,"San Francisco, CA",0.85,,,,"ai security, security posture management, genai security"
Startup300,,SaaS Security,"London, UK",0.9,,,,"saas security posture, saas governance, llm security, cloud app security"
Startup190,,AI Agent Security,Hybrid - Bay Area,0.8,,,,"autonomous agent security, llm compliance"
Startup338,,SaaS Compliance,"Denver, CO",0.8,,,,"ai compliance, llm compliance, sanctioned it, saas risk"
Startup68,,SaaS Security,"Boston, MA",0.7,,,,"ai policy, autonomous agent security, cloud compliance"
