company,role_count,avg_relevance,categories
Startup317,8,0.8499999999999999,"SaaS Security, SSPM, AI Agent Security, AI Compliance, SaaS Compliance"
Startup30,7,0.8285714285714285,"SaaS Security, SSPM, SaaS Compliance"
Startup271,7,0.8428571428571427,"SaaS Security, AI Compliance, SSPM, SaaS Compliance"
Startup15,7,0.8357142857142857,"SaaS Security, AI Compliance, SSPM, AI Agent Security"
Startup120,6,0.8333333333333334,"SaaS Security, AI Compliance, AI Agent Security, SSPM"
Kaiser Permanente,6,0.8166666666666665,"AI Compliance, SSPM, AI Agent Security, SaaS Compliance"
Startup102,6,0.8250000000000002,"SaaS Security, AI Agent Security, SaaS Compliance"
Startup295,6,0.8416666666666667,"SaaS Security, SSPM, SaaS Compliance"
Startup299,5,0.86,"SaaS Security, AI Compliance, AI Agent Security, SSPM"
Startup158,5,0.86,SSPM
Startup86,5,0.85,"SaaS Security, SSPM"
ExxonMobil,5,0.8,"SaaS Security, SSPM, AI Agent Security, SaaS Compliance"
SentinelOne,5,0.8400000000000001,"SaaS Security, SSPM, AI Agent Security"
Zoom,5,0.85,"SaaS Security, SSPM, SaaS Compliance"
Startup153,5,0.8400000000000001,"SaaS Security, SSPM, AI Agent Security"
Startup71,5,0.8400000000000001,"SaaS Security, AI Compliance, SSPM"
Startup269,5,0.8700000000000001,"SaaS Security, SSPM, SaaS Compliance"
Cloudflare,5,0.82,"SSPM, AI Agent Security"
Startup145,5,0.86,"SaaS Security, SSPM, SaaS Compliance"
Startup371,5,0.8400000000000001,"SaaS Security, SSPM, AI Agent Security"
