company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup122,,AI Agent Security,Hybrid - Bay Area,0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,,"llm compliance, ai agent risk"
Startup39,,SSPM,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"shadow it, saas security"
Startup120,,SaaS Security,"Austin, TX",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,,"ai policy, llm security, llm compliance, saas audit"
Best Buy,,SSPM,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=incident-response-engineer,,"saas security, cloud governance, shadow it, saas security posture, sanctioned it"
Startup326,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,,"sanctioned it, security posture management, saas posture management"
Startup99,,SSPM,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,,"generative ai compliance, llm security, saas posture management, ai agent risk"
Startup369,,SaaS Compliance,"Denver, CO",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,,"generative ai compliance, cloud app security, ai compliance"
Startup27,,SSPM,Hybrid - Bay Area,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-software-engineer,,"genai security, saas posture management, ai policy"
Startup57,,AI Compliance,Remote (US),0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,,"generative ai compliance, ai agent risk, saas governance, ai policy"
Humana,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"saas governance, saas security posture, autonomous agent security, saas risk, ai compliance"
Startup375,,SaaS Security,"Toronto, Canada",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,,"ai agent security, genai security, saas governance"
Startup341,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=risk-manager,,"shadow it, saas compliance, saas risk"
Startup129,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,,"saas security posture, llm security, saas governance"
Startup146,,AI Agent Security,"Toronto, Canada",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"ai governance, llm security"
Startup151,,AI Compliance,"Toronto, Canada",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=senior-security-engineer,,"genai security, ai policy, llm compliance, ai agent risk"
Startup65,,SaaS Security,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,,"cloud governance, saas security, ai governance, cloud app security, llm security"
Zscaler,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=application-security-engineer,,"ai policy, saas risk"
Startup377,,SSPM,"Denver, CO",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,,"saas audit, cloud governance"
Startup225,,AI Agent Security,"New York, NY",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,,"autonomous agent security, llm compliance"
Startup389,,SaaS Security,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"ai agent security, saas audit, cloud governance, autonomous agent security, ai agent risk"
Startup276,,SSPM,"London, UK",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"ai policy, saas governance, cloud compliance, security posture management, ai agent risk"
Startup269,,SaaS Security,Remote (US),0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,,"cloud application security, genai security, ai security, saas risk, ai governance"
Orca Security,,SSPM,"Denver, CO",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,,"saas governance, llm security, shadow it, genai security, saas audit"
Startup128,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,,"saas security, sanctioned it"
Startup136,,SSPM,"Austin, TX",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,,"shadow it, security posture management, saas risk"
Startup50,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-team-lead,,"shadow it, saas risk, cloud governance, ai compliance, saas security"
Startup157,,SSPM,Remote,0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"saas audit, saas governance, saas posture management, llm compliance, ai security"
Startup41,,AI Agent Security,"New York, NY",0.8,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,,"ai agent risk, genai security, saas risk, ai governance"
Startup69,,SSPM,"Denver, CO",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,,"saas audit, saas posture management, llm security, sspm, ai policy"
Startup376,,SSPM,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,,"ai policy, saas compliance, saas posture management, shadow it"
Startup240,,SSPM,"San Francisco, CA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,,"saas posture management, ai agent risk, cloud application security"
Startup291,,SaaS Security,"Denver, CO",0.9,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,,"cloud app security, autonomous agent security, genai security, ai security"
Zoom,,SaaS Security,"Seattle, WA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,,"ai agent security, saas security"
Rapid7,,SaaS Compliance,"New York, NY",0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,,"sanctioned it, ai compliance"
Startup16,,AI Agent Security,Remote,0.7,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ciso,,"llm security, ai policy, genai security"
Startup278,,SSPM,"Boston, MA",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=appsec-engineer,,"ai compliance, saas security posture, shadow it, sanctioned it, cloud compliance"
Startup51,,AI Agent Security,"New York, NY",0.85,,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,,"ai policy, ai agent risk, llm security, cloud app security"
