company,role_count,avg_relevance,categories
Twilio,15,0.8533333333333334,"SaaS Compliance, SaaS Security, SSPM, AI Agent Security"
Databricks,13,0.846153846153846,"SaaS Security, SSPM, SaaS Compliance"
eBay,12,0.8291666666666666,"AI Agent Security, SaaS Security, SSPM, SaaS Compliance"
Proofpoint,12,0.8166666666666665,"SaaS Compliance, AI Compliance, SSPM, AI Agent Security"
SentinelOne,12,0.8541666666666665,"AI Compliance, SaaS Security, SSPM, SaaS Compliance"
SUSE,11,0.8272727272727273,"AI Agent Security, SaaS Security, SSPM, SaaS Compliance"
American Express,11,0.8636363636363634,"AI Compliance, SaaS Security, SSPM, SaaS Compliance"
Home Depot,11,0.8045454545454546,"AI Agent Security, SaaS Compliance, SaaS Security, SSPM, AI Compliance"
AT&T,10,0.8299999999999998,"AI Compliance, SaaS Security, SSPM, SaaS Compliance"
ExxonMobil,10,0.8249999999999998,"AI Compliance, SaaS Security, SSPM, SaaS Compliance"
Zscaler,10,0.845,"AI Compliance, SaaS Security, SSPM, SaaS Compliance"
KPMG,10,0.845,"AI Compliance, SSPM, SaaS Compliance"
Sysdig,10,0.8400000000000001,"SaaS Security, SSPM, SaaS Compliance"
Red Hat,9,0.8333333333333331,"SaaS Compliance, AI Compliance, SSPM, AI Agent Security"
Deloitte,9,0.8333333333333333,"AI Agent Security, SaaS Security, SSPM, SaaS Compliance"
Box,9,0.8388888888888888,"AI Agent Security, SSPM, SaaS Compliance"
CVS Health,9,0.8388888888888888,"SaaS Security, SSPM, SaaS Compliance"
Atlassian,9,0.8611111111111112,"AI Compliance, SaaS Security, SSPM"
Capital One,9,0.811111111111111,"AI Compliance, SaaS Security, SaaS Compliance, AI Agent Security"
ForeScout,9,0.85,"SaaS Security, SSPM"
