company,role_count,avg_relevance,categories
Startup334,7,0.7999999999999999,"AI Compliance, SSPM, SaaS Security"
PwC,7,0.8285714285714284,"SaaS Compliance, SSPM, SaaS Security"
Startup212,7,0.8571428571428571,"AI Agent Security, SSPM, SaaS Security"
Startup199,6,0.8333333333333334,"AI Agent Security, SaaS Compliance, SSPM, SaaS Security"
Startup306,6,0.8250000000000001,"SaaS Compliance, AI Agent Security, SSPM, SaaS Security"
Startup270,6,0.8333333333333334,"SSPM, SaaS Security"
Best Buy,6,0.7916666666666666,"SaaS Compliance, SSPM"
Startup124,6,0.8083333333333332,"AI Agent Security, SSPM, SaaS Security"
VMware,6,0.8333333333333334,"AI Agent Security, SSPM, SaaS Security, AI Compliance, SaaS Compliance"
Startup59,6,0.8583333333333333,"AI Compliance, SaaS Compliance, SSPM, SaaS Security"
Startup396,6,0.8666666666666666,"SaaS Compliance, SSPM, SaaS Security"
Startup60,6,0.8416666666666667,"SaaS Compliance, SSPM, SaaS Security"
Startup312,5,0.8200000000000001,"AI Compliance, SSPM, SaaS Security"
Startup27,5,0.82,"SaaS Compliance, AI Agent Security, SSPM, SaaS Security"
Startup400,5,0.86,"SaaS Compliance, SSPM, SaaS Security"
Startup258,5,0.85,"SaaS Compliance, SSPM, SaaS Security"
EY,5,0.8699999999999999,"AI Compliance, SaaS Compliance, SSPM, SaaS Security"
Google,5,0.8300000000000001,"AI Agent Security, SSPM, SaaS Security"
Intel,5,0.8300000000000001,"AI Compliance, SaaS Compliance, SSPM"
Startup398,5,0.82,"SaaS Compliance, SSPM, SaaS Security"
