company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Startup26,,SaaS Security,"Boston, MA",0.7,,,,"cloud governance, genai security"
Startup238,,AI Agent Security,Remote (US),0.7,,,,"ai policy, genai security"
Startup234,,AI Agent Security,Remote (US),0.8,,,,"autonomous agent security, ai security, cloud compliance"
Etsy,,SSPM,"San Francisco, CA",0.85,,,,"ai policy, ai compliance, sspm, shadow it"
CrowdStrike,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, ai security, cloud compliance, ai agent security, cloud governance"
Startup238,,SSPM,"Toronto, Canada",0.85,,,,"cloud compliance, ai agent risk, saas security posture, saas risk"
Startup305,,SaaS Security,"Toronto, Canada",0.8,,,,"llm security, cloud app security, cloud application security, cloud governance"
Startup233,,SaaS Compliance,"Denver, CO",0.7,,,,"llm compliance, shadow it"
Proofpoint,,SaaS Security,Remote (US),0.85,,,,"cloud application security, llm security"
Startup175,,SSPM,"New York, NY",0.85,,,,"cloud governance, autonomous agent security, cloud application security, security posture management, shadow it"
Startup395,,AI Agent Security,"Seattle, WA",0.9,,,,"ai agent risk, cloud app security, llm compliance, ai agent security"
Startup156,,AI Compliance,Remote (US),0.85,,,,"ai compliance, ai policy, genai security, security posture management"
Cloudflare,,SSPM,Remote (US),0.85,,,,"saas risk, sspm, llm compliance"
Startup310,,SaaS Security,Remote (US),0.85,,,,"autonomous agent security, ai agent risk, saas governance, shadow it"
Startup217,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, shadow it, genai security, saas risk"
Startup139,,SaaS Security,"San Francisco, CA",0.8,,,,"llm compliance, saas risk, cloud governance, autonomous agent security"
Startup198,,SSPM,"Toronto, Canada",0.9,,,,"saas posture management, cloud compliance, llm security, saas security posture, ai agent risk"
Startup369,,SSPM,"Austin, TX",0.85,,,,"saas posture management, autonomous agent security"
Startup40,,SaaS Security,Remote,0.8,,,,"ai compliance, cloud app security"
Startup349,,SSPM,"Seattle, WA",0.85,,,,"cloud application security, security posture management, saas governance"
Startup65,,AI Agent Security,Hybrid - Bay Area,0.7,,,,"ai governance, sanctioned it, ai agent risk"
Startup65,,SSPM,"Seattle, WA",0.85,,,,"cloud application security, security posture management, sanctioned it, sspm, cloud governance"
Startup271,,SSPM,"Denver, CO",0.85,,,,"sspm, ai agent security, cloud app security, ai policy, ai governance"
Startup284,,SaaS Security,"Austin, TX",0.85,,,,"saas risk, cloud application security, saas security, ai compliance"
HubSpot,,SSPM,Remote (US),0.85,,,,"saas security, saas governance, saas security posture"
Startup257,,SaaS Security,"San Francisco, CA",0.8,,,,"autonomous agent security, ai compliance, shadow it, cloud compliance"
Raytheon,,SaaS Security,"Seattle, WA",0.9,,,,"autonomous agent security, saas security posture, saas governance, generative ai compliance, cloud application security"
Startup199,,SSPM,"Boston, MA",0.85,,,,"autonomous agent security, security posture management"
Startup1,,SSPM,"Denver, CO",0.85,,,,"sanctioned it, cloud compliance, saas compliance, saas security posture"
Startup4,,SSPM,Remote,0.85,,,,"cloud application security, saas security posture, sanctioned it, ai governance"
Startup331,,SSPM,"Boston, MA",0.85,,,,"saas security posture, security posture management"
SentinelOne,,SSPM,"Toronto, Canada",0.85,,,,"saas security posture, autonomous agent security"
Startup244,,SaaS Compliance,"New York, NY",0.85,,,,"generative ai compliance, saas risk, cloud compliance"
Startup208,,SaaS Security,"Denver, CO",0.85,,,,"llm compliance, autonomous agent security, saas audit, shadow it, saas risk"
Startup312,,SSPM,"Seattle, WA",0.85,,,,"security posture management, saas posture management, shadow it"
Northrop Grumman,,SSPM,"Denver, CO",0.85,,,,"ai governance, generative ai compliance, security posture management, shadow it"
Startup147,,SaaS Compliance,Remote (US),0.85,,,,"llm compliance, saas compliance, saas audit"
CloudKnox,,SSPM,"Toronto, Canada",0.85,,,,"saas posture management, ai agent security, ai agent risk, cloud governance"
Startup207,,SaaS Security,"San Francisco, CA",0.85,,,,"shadow it, llm security, saas security, cloud governance"
Startup180,,SaaS Compliance,"London, UK",0.85,,,,"saas compliance, cloud app security, cloud governance"
Startup40,,SaaS Compliance,Remote,0.85,,,,"ai policy, saas governance, saas compliance"
Startup205,,AI Compliance,"Toronto, Canada",0.8,,,,"llm compliance, llm security, ai compliance"
Startup198,,AI Compliance,Remote (US),0.9,,,,"generative ai compliance, cloud app security, ai governance, genai security"
Startup150,,SSPM,"Toronto, Canada",0.85,,,,"saas governance, cloud application security"
Startup66,,SaaS Security,Remote (US),0.8,,,,"ai security, ai agent security, saas audit, cloud compliance"
Startup4,,AI Compliance,"Seattle, WA",0.85,,,,"generative ai compliance, llm security"
Snyk,,SaaS Security,"Toronto, Canada",0.85,,,,"genai security, sanctioned it, saas security"
Startup24,,SSPM,Hybrid - Bay Area,0.85,,,,"llm security, saas risk, sspm, cloud compliance, saas security"
Startup152,,SSPM,"Denver, CO",0.85,,,,"shadow it, ai compliance, ai policy, sspm"
Startup172,,SSPM,"London, UK",0.9,,,,"security posture management, saas compliance, sspm, saas security, llm security"
Startup278,,SSPM,Remote,0.85,,,,"ai agent risk, saas governance, cloud compliance, saas posture management, llm compliance"
Startup353,,SSPM,"London, UK",0.9,,,,"saas posture management, cloud governance, saas compliance, llm security, generative ai compliance"
Startup37,,AI Compliance,"Austin, TX",0.7,,,,"ai compliance, generative ai compliance, sanctioned it"
Startup168,,SSPM,Hybrid - Bay Area,0.85,,,,"saas posture management, sspm, cloud compliance, ai governance, cloud application security"
ServiceNow,,SSPM,"Toronto, Canada",0.85,,,,"sanctioned it, genai security, generative ai compliance, sspm, ai agent risk"
Startup159,,SSPM,"London, UK",0.85,,,,"ai policy, saas risk, cloud governance, saas security posture, cloud application security"
Startup208,,SaaS Compliance,Remote,0.8,,,,"saas governance, generative ai compliance"
Startup7,,SSPM,Hybrid - Bay Area,0.85,,,,"security posture management, autonomous agent security, sspm"
Startup352,,SSPM,Remote (US),0.85,,,,"autonomous agent security, sspm, saas risk, security posture management"
Startup203,,AI Agent Security,"Austin, TX",0.7,,,,"ai governance, llm security"
Startup39,,SSPM,"Toronto, Canada",0.85,,,,"saas security posture, generative ai compliance, saas risk"
Startup225,,SaaS Security,Remote (US),0.9,,,,"cloud application security, saas governance, saas security posture, saas compliance, saas posture management"
Target,,SSPM,Remote,0.85,,,,"saas posture management, security posture management, sanctioned it, saas governance, cloud compliance"
Startup235,,SSPM,Hybrid - Bay Area,0.85,,,,"saas posture management, saas compliance"
Startup124,,SaaS Security,Remote,0.8,,,,"saas risk, cloud application security"
Wells Fargo,,SSPM,"Toronto, Canada",0.85,,,,"saas governance, genai security, saas audit"
Startup56,,SSPM,"Boston, MA",0.85,,,,"generative ai compliance, cloud governance, security posture management, ai policy, ai governance"
Startup65,,SaaS Security,"Toronto, Canada",0.9,,,,"cloud app security, ai security, saas security, cloud compliance, saas risk"
Startup308,,SaaS Compliance,"New York, NY",0.85,,,,"llm compliance, ai security, saas audit"
Startup356,,SaaS Compliance,Remote (US),0.85,,,,"cloud governance, saas compliance, ai agent security"
Cloudflare,,SaaS Security,Hybrid - Bay Area,0.9,,,,"saas risk, saas compliance, sspm, saas security posture, llm compliance"
Startup80,,SSPM,"New York, NY",0.85,,,,"saas governance, sspm"
