company_name,activity_type,role_count,post_count,priority_score,last_updated
"IntelliDyne, LLC",hiring_only,12,0,2,2026-02-20
"ProvatoHR, Inc.",hiring_only,4,0,2,2026-02-20
Hiring Companies,hiring_only,1,0,2,2026-02-20
ion Systems Security Officer,hiring_only,1,0,2,2026-02-20
Check Point,talking_only,0,9,1,2026-02-20
Cisco Security,talking_only,0,6,1,2026-02-20
CrowdStrike,talking_only,0,6,1,2026-02-20
Palo Alto Networks,talking_only,0,4,1,2026-02-20
DoorDashDoorDash is an on-demand delivery service.,discovered,0,0,0,2026-02-20
Strategic Partnerships,discovered,0,0,0,2026-02-20
AI,discovered,0,0,0,2026-02-20
American Dynamism,discovered,0,0,0,2026-02-20
Consumer,discovered,0,0,0,2026-02-20
Crypto,discovered,0,0,0,2026-02-20
Enterprise,discovered,0,0,0,2026-02-20
Fintech,discovered,0,0,0,2026-02-20
Infrastructure,discovered,0,0,0,2026-02-20
Speedrun,discovered,0,0,0,2026-02-20
Growth,discovered,0,0,0,2026-02-20
Cultural Leadership Fund,discovered,0,0,0,2026-02-20
Talent x Opportunity,discovered,0,0,0,2026-02-20
Perennial,discovered,0,0,0,2026-02-20
See More Results,discovered,0,0,0,2026-02-20
Machine & Deep Learning,discovered,0,0,0,2026-02-20
Education,discovered,0,0,0,2026-02-20
Marketplaces,discovered,0,0,0,2026-02-20
Web3,discovered,0,0,0,2026-02-20
go to top,discovered,0,0,0,2026-02-20
Terms of Use,discovered,0,0,0,2026-02-20
Conduct,discovered,0,0,0,2026-02-20
Privacy Policy,discovered,0,0,0,2026-02-20
Disclosures,discovered,0,0,0,2026-02-20
HomeH,discovered,0,0,0,2026-02-20
cookie policy,discovered,0,0,0,2026-02-20
Accept,discovered,0,0,0,2026-02-20
Decline,discovered,0,0,0,2026-02-20
Load More,discovered,0,0,0,2026-02-20
Filters0,discovered,0,0,0,2026-02-20
Reset,discovered,0,0,0,2026-02-20
Entrepreneurial Resources,discovered,0,0,0,2026-02-20
Search,discovered,0,0,0,2026-02-20
Consumer & Retail,discovered,0,0,0,2026-02-20
Frontier,discovered,0,0,0,2026-02-20
Sustainability,discovered,0,0,0,2026-02-20
Digital Health,discovered,0,0,0,2026-02-20
MedTech & Diagnostics,discovered,0,0,0,2026-02-20
Therapeutics,discovered,0,0,0,2026-02-20
Select Exits,discovered,0,0,0,2026-02-20
View More,discovered,0,0,0,2026-02-20
AI benefiting humanity,discovered,0,0,0,2026-02-20
Transforming the way we eat,discovered,0,0,0,2026-02-20
Fueling human potential through optimal sleep,discovered,0,0,0,2026-02-20
One-stop shop for wholesale,discovered,0,0,0,2026-02-20
One dedicated handyman for your home,discovered,0,0,0,2026-02-20
Hyper-personalized stories powered by AI,discovered,0,0,0,2026-02-20
Sell a home in minutes,discovered,0,0,0,2026-02-20
Rebuilding higher ed for the AI era,discovered,0,0,0,2026-02-20
Watch live sports with friends,discovered,0,0,0,2026-02-20
Personalized automated oral health system,discovered,0,0,0,2026-02-20
AI gamemaker,discovered,0,0,0,2026-02-20
Clinical grade headband to improve sleep,discovered,0,0,0,2026-02-20
Largest music game on Roblox,discovered,0,0,0,2026-02-20
Proteomics for precision organ health,discovered,0,0,0,2026-02-20
Building a native AI foundational model for Japan,discovered,0,0,0,2026-02-20
Empowering a billion software developers,discovered,0,0,0,2026-02-20
Serverless Postgres,discovered,0,0,0,2026-02-20
AI applications for the Fortune 500,discovered,0,0,0,2026-02-20
AI-native FP&A software & data management,discovered,0,0,0,2026-02-20
AI accountant,discovered,0,0,0,2026-02-20
AI-native ERP,discovered,0,0,0,2026-02-20
Legal AI contract review & drafting,discovered,0,0,0,2026-02-20
AI-native digital identity protection,discovered,0,0,0,2026-02-20
Real-time data warehouse and open-source database,discovered,0,0,0,2026-02-20
Adapting the web for AIs,discovered,0,0,0,2026-02-20
Chip design reimagined with AI,discovered,0,0,0,2026-02-20
Automated analog layout,discovered,0,0,0,2026-02-20
Copilot for architects and interior designers,discovered,0,0,0,2026-02-20
Building the full-stack for Generative AI in India,discovered,0,0,0,2026-02-20
AI assistant to transcribe and summarize meetings,discovered,0,0,0,2026-02-20
Staying on top of cyber threats,discovered,0,0,0,2026-02-20
Self-service analytics for the modern data stack,discovered,0,0,0,2026-02-20
Simplified business communications,discovered,0,0,0,2026-02-20
Antivirus software to prevent rather than detect,discovered,0,0,0,2026-02-20
Enabling businesses to participate in the economy,discovered,0,0,0,2026-02-20
Financial infrastructure for the Internet,discovered,0,0,0,2026-02-20
Credit card using your home equity for lower rates,discovered,0,0,0,2026-02-20
Pay over time without hidden fees,discovered,0,0,0,2026-02-20
Co-branded financial products,discovered,0,0,0,2026-02-20
Finance simplified,discovered,0,0,0,2026-02-20
Cyber insurance,discovered,0,0,0,2026-02-20
Real estate investing for everyone,discovered,0,0,0,2026-02-20
Improving access to affordable credit with AI,discovered,0,0,0,2026-02-20
Self-driving trucks,discovered,0,0,0,2026-02-20
Next-generation defense systems,discovered,0,0,0,2026-02-20
Universal manufacturing network,discovered,0,0,0,2026-02-20
Structured cognition in machines,discovered,0,0,0,2026-02-20
AI-powered weather balloons,discovered,0,0,0,2026-02-20
Building delivery bots,discovered,0,0,0,2026-02-20
Revolutionizing analog computing for AI,discovered,0,0,0,2026-02-20
Intelligent robotics for item handling,discovered,0,0,0,2026-02-20
Manufacturing in space,discovered,0,0,0,2026-02-20
High-resolution imaging satellites,discovered,0,0,0,2026-02-20
Limitless clean fusion energy,discovered,0,0,0,2026-02-20
High-capacity urban mass transit,discovered,0,0,0,2026-02-20
Forging the future of steel,discovered,0,0,0,2026-02-20
Fertilizer from air,discovered,0,0,0,2026-02-20
